Этаж,Общее количество этаже в доме,Количество комнат,Площадь квартиры,Цена,Район,Улица,Номер дома,Метро,Расстояние до метро
16,25,1,38.0,12790000.0,Метрогородок,Тагильская ,4В,Бульвар Рокоссовского,1209.7618693308423
2,24,1,19.5,4550000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
11,12,1,61.3,42900000.0,Тверской,2-я Брестская ,6,Маяковская,278.51592892910725
7,8,1,50.0,32950000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,995.0160230627704
5,12,1,34.1,19000000.0,Обручевский, Академика Челомея,1А,Воронцовская,496.15125866261553
5,9,1,29.4,12000000.0,Филевский парк,Сеславинская ,32,Филёвский парк,461.39283975797343
3,9,1,92.5,164650000.0,Мещанский,Малая Сухаревская площадь,6С4,Сухаревская,182.91553764239362
3,15,1,38.0,30400000.0,Аэропорт,Ленинградский проспект,36с39,Динамо,564.9054972567276
11,12,1,46.2,28182000.0,Даниловский,2-я Рощинская ,1,Тульская,289.5384842824112
25,46,1,42.0,27600000.0,Даниловский,Дубининская ,59А,Серпуховская,1133.1223725969573
6,24,1,47.0,28000000.0,Тропарево-Никулино,проспект Вернадского,80,Юго-Западная,236.5648235506887
8,44,1,40.43,23590905.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,551.2185875248799
4,6,1,28.5,28500000.0,Хамовники,Зубовская ,7,Парк Культуры,621.5618419181026
19,34,1,31.2,16576560.0,Нагорный,Электролитный проезд,12Б,Нагорная,351.8690161698844
1,9,1,33.5,9000000.0,Северное Бутово, Грина,10,Бульвар Дмитрия Донского,852.0427664997309
12,13,1,72.7,40687064.0,Даниловский, Даниловский Вал,1А,Тульская,507.78598465093603
3,22,1,39.0,10700000.0,Марьино, Верхние Поля,28,Братиславская,821.6517371641138
14,17,1,38.3,15600000.0,Ховрино, Дыбенко,36к4,Ховрино,341.3792254197274
15,34,1,29.7,17904913.0,Обручевский, Архитектора Власова,71к2,Воронцовская,524.2618271929548
2,18,1,41.0,23500000.0,Беговой,Ленинградский проспект,29к3,Динамо,650.363027567069
2,10,1,48.7,37406470.0,Свиблово,Снежная ,вл22к3,Свиблово,449.52424441385574
16,36,1,41.1,33000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,873.5683275783125
54,63,1,81.0,61000000.0,Пресненский,набережная Пресненская,12,Деловой центр,178.73204833211827
10,12,1,34.4,20534839.0,Преображенское,Электрозаводская ,60,Преображенская площадь,428.4056925396633
14,17,1,38.3,15600000.0,Ховрино, Дыбенко,36к4,Ховрино,341.3792254197274
13,14,1,49.4,35300000.0,Раменки,проспект Генерала Дорохова,39к2И,Минская,992.8309677101846
11,12,1,34.9,9800000.0,Орехово-Борисово Южное,Каширское шоссе,140,Домодедовская,1421.0568560973172
6,40,1,43.0,21000000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,519.5332357189527
12,14,1,39.1,11400000.0,Люблино,Ставропольская ,64К2,Люблино,959.299420700236
1,9,1,33.0,11500000.0,Орехово-Борисово Северное,Борисовский проезд,22К1,Шипиловская,1291.652605704541
13,39,1,39.9,24900000.0,Ростокино, Вильгельма Пика,1,Ботанический сад,1132.0590759204056
7,9,1,32.0,8900000.0,Орехово-Борисово Южное,Каширское шоссе,132К3,Домодедовская,1053.0144763606581
4,5,1,37.0,16500000.0,Кунцево,Полоцкая ,23,Молодёжная,953.3409154164729
2,5,1,30.7,12450000.0,Беговой,Скаковая ,4к2,Динамо,979.6008575920773
6,14,1,36.1,20990000.0,Тверской,3-й Самотечный переулок,21,Достоевская,314.75809351517444
2,12,1,34.0,11500000.0,Зюзино,Азовская ,4,Нахимовский проспект,327.4045397756458
4,20,1,28.25,11163765.0,Аэропорт, Академика Ильюшина,21,Гражданская,374.44466368289164
8,9,1,35.2,12800000.0,Кунцево,Ельнинская ,15,Молодёжная,309.0707449947222
9,9,1,32.4,9700000.0,Кузьминки,Волгоградский проспект,64К1,Кузьминки,606.3417891021704
8,8,1,16.0,11990000.0,Басманный,Садовая-Черногрязская ,13/3С1,Красные ворота,560.1014411557331
14,16,1,41.9,10500000.0,Бирюлево Восточное,Лебедянская ,17К3,Липецкая,18891.95436649776
1,17,1,37.8,11600000.0,Академический,Новочеремушкинская ,24К2,Профсоюзная,778.3026438500482
6,12,1,57.9,55479780.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,495.5928067021663
