Этаж,Общее количество этаже в доме,Количество комнат,Площадь квартиры,Цена,Район,Улица,Номер дома,Метро,Расстояние до метро
32,78,2,85.0,51000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
2,9,2,37.1,11400000.0,Сокол,Волоколамское шоссе,16,Стрешнево,526.1568919233525
3,19,2,55.2,34500000.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,439.1206398744229
9,14,2,67.0,57000000.0,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,2255.094362595588
12,14,2,52.3,12200000.0,Дмитровский,Клязьминская ,21к1,Лианозово,1115.0499714082143
3,5,2,99.4,180000000.0,Якиманка,Софийская набережная,18,Боровицкая,699.2415287717761
8,10,2,57.5,18975000.0,Головинский,Михалковская ,54,Коптево,599.735030930346
8,9,2,37.0,7750000.0,Матушкино,Зеленоград,к148,Зеленоград — Крюково,3692.251400799588
2,5,2,105.0,155000000.0,Тверской,Никольская ,10/2С2б,Лубянка,167.5340820575023
4,5,2,105.3,48000000.0,Замоскворечье, Большая Ордынка,17С1,Третьяковская,142.06742291902782
16,41,2,68.0,51000000.0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,1172.9994708156187
6,12,2,45.0,17500000.0,Чертаново Центральное,Кировоградская ,16К1,Южная,344.29083123663867
53,68,2,86.0,90000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
2,17,2,53.0,17650000.0,Митино,Пятницкое шоссе,38К1,Пятницкое шоссе,522.2593446006332
6,6,2,72.3,46000000.0,Красносельский,Милютинский переулок,19/4С2,Тургеневская,298.9316469629833
24,36,2,71.8,68500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,873.5683275783125
5,9,2,47.0,9100000.0,Савёлки,Зеленоград,к360,Зеленоград — Крюково,3136.298386859038
5,6,2,75.6,211680000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,603.4763647354536
2,5,2,107.7,414150756.0,Пресненский,Большая Никитская ,9,Арбатская,561.2436575901319
4,5,2,43.0,13300000.0,Щукино,Новощукинская ,9,Щукинская,764.3143827035788
27,30,2,39.7,21300000.0,Зябликово,Ореховый бульвар,24к4,Красногвардейская,460.04016599503433
4,9,2,45.0,11000000.0,Люблино, Верхние Поля,5К3,Братиславская,824.3350170171161
5,13,2,116.21,171382344.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,443.9618534232452
3,5,2,52.0,39000000.0,Донской,4-й Верхний Михайловский проезд,4к1,Шаболовская,1185.0419899227877
2,8,2,49.7,9656710.0,Бибирево, Корнейчука,27,Алтуфьево,2428.2059268447256
2,7,2,56.0,38990000.0,Хамовники,Смоленская-Сенная площадь,27С1а,Смоленская,403.89357418388454
7,9,2,44.0,12700000.0,Чертаново Центральное,Днепропетровская ,27к1,Южная,1461.9422364708173
11,16,2,81.6,79021440.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,495.5928067021663
15,16,2,62.6,25000000.0,Красносельский,Большая Спасская ,10К1,Площадь трёх вокзалов,590.8517144254511
16,21,2,47.9,19801860.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,930.8035916456713
9,10,2,82.0,78500000.0,Хамовники,Ружейный переулок,3,Смоленская,645.5623035196261
17,17,2,51.7,11900000.0,Северный,9-я Северная линия,23к2,Физтех,1254.2351278743663
5,41,2,75.0,42200000.0,Раменки,1-й Сетуньский проезд,6С6,Кутузовская,974.4863778189932
6,12,2,53.0,17500000.0,Зябликово,Шипиловская ,59к1,Шипиловская,553.4399970142139
2,39,2,69.0,48000000.0,Раменки, Лобачевского,120к1,Аминьевская,328.3320946311416
8,12,2,45.8,11150000.0,Бибирево,Белозерская ,11А,Бибирево,1767.3049998930885
12,23,2,58.4,36750000.0,Хорошево-Мневники, Нижние Мневники,16к1,Терехово ,288.1154753371057
8,22,2,87.2,38000000.0,Раменки, Пырьева,9К1,Поклонная,625.6831366700288
18,27,2,66.3,28556736.0,Аэропорт,2-й Амбулаторный проезд,18,Сокол,969.6301554905428
28,29,2,53.6,45000000.0,Якиманка,Мытная ,40к4,Серпуховская,772.0782996511227
9,9,2,40.0,13600000.0,Левобережный,Беломорская ,7К2,Беломорская,401.70595776443344
2,7,2,148.33,363408500.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,286.6371011885702
2,5,2,65.1,125000000.0,Арбат, Арбат,39,Смоленская,463.80890189544556
10,22,2,58.8,24900000.0,Останкинский, Академика Королева,8К2,Улица Академика Королёва,372.8291397747339
23,66,2,71.6,60860000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
9,9,2,47.4,15490000.0,Отрадное, Бестужевых,3А,Отрадное,930.0463810500339
11,29,2,75.0,32500000.0,Теплый Стан,Ленинский проспект,131,Тропарёво,198.81802912938446
8,9,2,45.1,14200000.0,Коньково, Генерала Антонова,5К1,Беляево,630.0870789051074
12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,1180.117206397882
5,12,2,48.0,16750000.0,Нагорный,Фруктовая ,9А,Нахимовский проспект,537.4596812375268
30,85,2,95.4,79990000.0,Пресненский,1-й Красногвардейский проезд,21с1,Москва-Сити,186.2551005258422
14,41,2,48.0,30900000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,974.4863778189932
56,63,2,139.0,100000000.0,Пресненский,набережная Пресненская,12,Деловой центр,178.73204833211827
3,36,2,62.8,50591680.0,Беговой,Ленинградский проспект,вл8,Белорусская,336.7265264801356
64,65,2,62.2,76000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315.5998741513575
1,12,2,37.9,11950000.0,Южное Тушино, Фабрициуса,44К2,Сходненская,871.6148608878225
16,46,2,47.2,36600000.0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,1172.9994708156187
32,41,2,66.0,45000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,1153.1277666646029
6,12,2,38.0,10000000.0,Ивановское,Саянская ,15К1,Новогиреево,2217.7895629908744
3,8,2,53.0,55500000.0,Таганский,Славянская площадь,2/5с1,Китай-город,568.8581516814435
3,14,2,38.5,11900000.0,Теплый Стан, Теплый Стан,12К1,Генерала Тюленева,399.0772685483826
23,42,2,41.6,21715232.0,Котловка,Севастопольский проспект,22А,Нагорная,1247.7807687323595
28,41,2,72.8,75000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,895.694954704754
9,12,2,40.0,15600000.0,Щукино, Народного Ополчения,42к3,Октябрьское поле,384.3622645722832
2,10,2,91.1,38770000.0,Хамовники,3-я Фрунзенская ,9,Фрунзенская,714.6219072755102
51,75,2,123.0,82000000.0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,158.3300755779805
31,31,2,53.0,17500000.0,Южное Бутово, Поляны,5,Улица Скобелевская,1080.63147635118
8,12,2,93.4,65000000.0,Мещанский,Протопоповский переулок,17С2,Проспект Мира,185.55697869278006
9,21,2,71.2,29900000.0,Сокольники,проезд Попов,4,Электрозаводская,613.7896148742835
3,36,2,52.3,19534050.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,338.8790811240793
6,13,2,52.0,35800000.0,Аэропорт,Ленинградский проспект,36с36,Динамо,666.0784054929585
5,5,2,51.0,23000000.0,Академический,проспект 60-летия Октября,14,Академическая,433.18677538411333
2,13,2,60.3,21500000.0,Даниловский,набережная Марка Шагала,11к3,Технопарк,1697.952681994126
3,14,2,41.49,47713500.0,Дорогомилово,1-й Можайский тупик,8Ас15,Киевская,476.3054189661285
1,19,2,70.0,50000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,1180.117206397882
2,4,2,54.2,43000000.0,Замоскворечье,2-й Раушский переулок,3,Новокузнецкая,594.9907776147306
2,4,2,73.0,69500000.0,Тверской,1-й Колобовский переулок,16С1,Трубная,225.38653503880846
2,8,2,54.0,30500000.0,Басманный,Садовая-Черногрязская ,16-18С1,Красные ворота,475.7677101278502
6,17,2,101.5,61712000.0,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,960.8459970000656
9,13,2,73.8,42800000.0,Раменки,Винницкая ,8к1,Раменки,492.333720438046
1,9,2,44.0,10800000.0,Чертаново Центральное,Чертановская ,21К2,Южная,762.2134560101772
20,22,2,48.8,15464720.0,Западное Дегунино,Дегунинская ,9к1,Селигерская,877.4785055989748
40,42,2,67.0,43000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,1153.1277666646029
21,24,2,58.5,25900000.0,Филевский парк,Промышленный проезд,4,Фили,628.3134435886103
2,27,2,50.7,22632480.0,Щукино, Берзарина,32А,Щукинская,2150.105032714645
2,7,2,110.2,95700000.0,Басманный,Большой Харитоньевский переулок,16-18,Красные ворота,399.77855855766546
18,34,2,60.3,43385850.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,1210.9566468775654
21,21,2,35.3,35100000.0,Басманный,площадь Курского Вокзала,1,Чкаловская,119.92438959090843
1,9,2,30.5,7000000.0,Южное Тушино,Туристская ,1,Сходненская,1181.1517232186206
2,40,2,71.0,31700000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,1153.1277666646029
5,17,2,73.1,65000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,703.7938970418958
32,41,2,66.47,33035590.0,Пресненский,Шмитовский проезд,39к5,Шелепиха,359.5491391223204
4,12,2,40.0,14490000.0,Отрадное,Отрадный проезд,9К2,Отрадное,788.4959572956088
3,9,2,42.0,24999990.0,Тверской, Бутырский Вал,28,Белорусская,667.1746162872365
12,24,2,68.0,37800000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,888.8709735752273
2,27,2,56.52,18467153.0,Покровское-Стрешнево,Волоколамское шоссе,95/1к11,Трикотажная,474.09472976751147
20,21,2,73.5,46900000.0,Раменки,Мосфильмовская ,88к4с2,Раменки,866.4544063983624
3,14,2,62.0,63000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,703.7938970418958
36,40,2,59.3,24622842.0,Щукино,к2.1,к2.1,Стрешнево,10400.86839253543
23,34,2,88.0,73500000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,876.3742882886997
9,11,2,62.9,37000000.0,Раменки,Винницкая ,8к4,Раменки,618.282884368037
7,18,2,81.4,45000000.0,Хорошево-Мневники,Карамышевская набережная,36,Народное Ополчение,1150.547930357549
2,21,2,76.65,41429999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,673.6231171496433
23,23,2,100.0,59000000.0,Можайский,Можайское шоссе,6К1,Кунцевская,1003.1010770020968
24,27,2,53.66,26690000.0,Нагорный,Электролитный проезд,7,Нагорная,95.46822866200262
3,21,2,71.0,85000000.0,Пресненский, Костикова,4к1,Улица 1905 года,464.45332523038036
4,7,2,64.7,88256799.0,Хамовники,Комсомольский проспект,42С2,Спортивная,578.1105923446473
5,44,2,42.3,32800000.0,Пресненский,Ходынская ,2,Улица 1905 года,695.0064773305083
12,13,2,71.0,48000000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,1013.4676306616727
38,68,2,72.5,75500000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315.5998741513575
8,17,2,71.8,46626920.0,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,840.5701906486589
48,64,2,104.0,98100000.0,Пресненский,набережная Пресненская,8с1,Деловой центр,230.26062303732613
4,13,2,68.9,95000000.0,Раменки,Воробьевское шоссе,4,Поклонная,1026.4071621604128
4,13,2,86.1,229840000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,401.2952672807682
46,73,2,123.0,150000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
4,5,2,57.0,23899000.0,Красносельский,3-й Красносельский переулок,19С4,Красносельская,818.1075508104228
6,6,2,136.0,45000000.0,Раменки,Минская ,1Б,Минская,813.5267808793483
14,24,2,46.0,31000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,1190.0779265379442
10,15,2,75.0,40000000.0,Останкинский,проспект Мира,95,Алексеевская,208.37543695898458
22,32,2,44.7,32200000.0,Черемушки,Херсонская ,43к5,Зюзино,922.7062125095559
2,29,2,42.1,14145600.0,Черемушки, Наметкина,вл10,Новые Черёмушки,893.2727881480023
11,26,2,52.6,34000000.0,Очаково-Матвеевское,Нежинская ,3А,Матвеевская,1392.307756689172
10,11,2,65.0,36490000.0,Басманный, Казакова,7,Курская,553.4558343678414
2,8,2,61.5,54200000.0,Таганский,Серебрянический переулок,8,Китай-город,1244.8923639183417
4,13,2,74.0,79000000.0,Пресненский,Большая Садовая ,5к2,Маяковская,263.4984043237504
19,21,2,61.1,37700000.0,Марфино, Академика Королева,21,Бутырская,723.846616170419
8,8,2,60.9,22800000.0,Хорошевский, Куусинена,6К2,Полежаевская,519.6258078398539
26,30,2,48.8,24500000.0,Южнопортовый,Волгоградский проспект,32/3к6,Угрешская,375.8313527119422
3,5,2,90.0,80000000.0,Гагаринский,Андреевская набережная,1,Воробьёвы горы,1084.0468304231808
11,12,2,77.0,47740000.0,Даниловский,2-я Рощинская ,1,Тульская,289.5384842824112
29,37,2,56.5,27200000.0,Раменки,Мосфильмовская ,98к1,Аминьевская,622.7351310116621
11,16,2,68.0,19000000.0,Очаково-Матвеевское,Матвеевская ,4К1,Матвеевская,311.275562570336
9,14,2,56.8,12400000.0,Некрасовка, Маршала Еременко,5к2,Некрасовка,1576.6733881131302
2,5,2,64.0,215000000.0,Хамовники,Пречистенская набережная,43,Кропоткинская,273.5662567731656
10,22,2,75.2,35990000.0,Хорошево-Мневники, Нижние Мневники,16к3,Терехово ,414.4182683045704
3,9,2,41.9,24999990.0,Тверской, Бутырский Вал,28,Белорусская,667.1746162872365
5,5,2,46.2,10500000.0,Соколиная гора, Уткина,39,Шоссе Энтузиастов,831.9552574365993
4,7,-1,46.3,3500000.0,Красносельский,1-й Красносельский переулок,7-9С2,Красносельская,502.62477086198754
31,40,2,79.1,30500000.0,Ховрино, Дыбенко,38к1,Ховрино,269.1140502129306
23,34,2,39.6,18520436.0,Нагорный,Электролитный проезд,12Б,Нагорная,351.8690161698844
11,21,2,53.0,22850000.0,Войковский,Выборгская ,9/1,Водный стадион,840.0994930131252
2,15,2,58.1,75530000.0,Таганский,Котельническая набережная,31,Таганская,440.8747062207868
13,19,2,51.3,20929100.0,Печатники,Шоссейная ,4Д,Печатники,404.16954689340224
6,12,2,72.4,17250000.0,Ярославский,Холмогорская ,2к3,Медведково,3713.296977954781
9,25,2,43.0,28400000.0,Нагатинский затон, Корабельная,5А,Нагатинский Затон,355.3742589539287
13,13,2,106.7,58951750.0,Даниловский, Даниловский Вал,1А,Тульская,507.78598465093603
38,40,2,115.4,66000000.0,Обручевский,Профсоюзная ,64к2,Новые Черёмушки,666.7114132262359
2,17,2,67.8,30000000.0,Северное Тушино,Химкинский бульвар,14к2,Сходненская,480.90924239962374
2,12,2,36.0,11700000.0,Царицыно,Ереванская ,26к1,Царицыно,865.7209385542793
3,8,2,97.7,268675000.0,Арбат,Никитский бульвар,6/20,Арбатская,162.3151444558579
10,12,2,80.79,38536830.0,Пресненский,Шмитовский проезд,39к9,Шелепиха,517.9176005640329
26,43,2,78.0,33000000.0,Хорошевский,Хорошевское шоссе,16к2,Беговая,69.05493629529711
7,12,2,42.1,18200000.0,Даниловский,набережная Марка Шагала,11к3,ЗИЛ,1363.0888597062271
36,53,2,80.0,100000000.0,Пресненский,Шмитовский проезд,39к8,Москва-Сити,622.6860067731741
5,24,2,58.1,26921828.0,Нагатинский затон,проспект Андропова,9/1,Технопарк,404.01239050825194
3,35,2,38.3,11260200.0,Ярославский,проспект Мира,222,Ростокино,305.88761450043467
11,12,2,78.58,64000000.0,Тверской,2-я Брестская ,6,Маяковская,278.51592892910725
5,9,2,44.5,11750000.0,Бирюлево Западное,Медынская ,12К2,Битца,2588.5388218728376
14,41,2,55.8,35000000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,974.4863778189932
9,37,2,45.0,25400000.0,Останкинский, Годовикова,11к2,Алексеевская,846.798933851949
2,8,2,63.7,105062958.0,Мещанский,Большой Кисельный переулок,11/2с2,Тургеневская,564.9986394435834
6,8,2,96.0,280000000.0,Хамовники, Льва Толстого,23к1,Парк Культуры,505.7696975860636
6,7,2,60.0,40000000.0,Дорогомилово,Большая Дорогомиловская ,5,Киевская,438.75289667434544
7,17,2,42.0,32000000.0,Можайский, Красных Зорь,33А,Рабочий посёлок,1007.8661830958665
10,12,2,109.6,70000000.0,Тверской,2-я Брестская ,6,Маяковская,278.51592892910725
1,9,2,40.5,11000000.0,Богородское,2-я Прогонная ,11,Бульвар Рокоссовского,1561.9528010940921
38,44,2,62.1,33943860.0,Марьина роща, 4-я Марьиной рощи,12К3,Марьина Роща,551.2185875248799
4,29,2,97.0,75000000.0,Филевский парк,Береговой проезд,3,Фили,1324.6473991907758
8,9,2,46.5,10990000.0,Можайский,Барвихинская ,22,Сетунь,530.7343499314952
30,68,2,84.0,150000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315.5998741513575
10,17,2,200.3,264770399.0,Арбат, Новый Арбат,29,Смоленская,425.3630624925072
46,75,2,114.2,86000000.0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,158.3300755779805
9,12,2,45.3,11000000.0,Царицыно, Медиков,26к3,Царицыно,1206.856276732097
3,16,2,52.6,26995635.0,Сокольники, Матросская Тишина,12,Сокольники,815.5442209425191
3,9,2,78.4,29900000.0,Даниловский,3-я оч.,к1,Технопарк,3252.1406760500713
2,8,2,57.2,21500000.0,Ломоносовский,Ленинский проспект,90,Новаторская,591.5270668346926
18,23,2,65.0,26000000.0,Марьина роща, 2-я Марьиной рощи,3,Марьина Роща,392.4582263010586
15,24,2,91.0,39750000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,1818.2221915045443
2,6,2,54.5,54840000.0,Тверской,Козицкий переулок,1А,Пушкинская,294.56145687190053
19,24,2,70.0,42000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,276.50905654413594
6,8,2,41.0,12499999.0,Измайлово,3-я Парковая ,35,Измайловская,987.6796503239431
2,8,2,55.0,18900000.0,Соколиная гора,проспект Буденного,27,Соколиная гора,981.0015270781664
1,5,2,57.3,16900000.0,Можайский,Гвардейская ,17К2,Рабочий посёлок,316.623389887238
3,23,2,40.4,14036989.0,Отрадное,Сигнальный проезд,12,Владыкино,295.7370770385554
11,79,2,62.0,47000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
2,9,2,60.0,29600000.0,Ломоносовский, Вавилова,91К1,Новые Черёмушки,935.5863602257452
25,29,2,48.5,22870000.0,Можайский, Петра Алексеева,14,Рабочий посёлок,1446.9367342676146
12,41,2,47.0,29500000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,974.4863778189932
3,5,2,178.6,164312000.0,Арбат, Арбат,39,Смоленская,463.80890189544556
34,39,2,49.0,31000000.0,Раменки, Лобачевского,120к1,Аминьевская,328.3320946311416
7,32,2,86.0,33500000.0,Хорошевский,Хорошевское шоссе,12к1,Беговая,301.27633532480036
7,16,2,74.5,45000000.0,Даниловский,проспект Лихачева,10к2,Технопарк,627.6755674587348
3,7,2,62.0,56500000.0,Замоскворечье,Садовническая ,29,Новокузнецкая,620.3488999660616
13,14,2,76.6,21803390.0,Ясенево,Новоясеневский проспект,3В,Тёплый Стан,945.7545209362427
1,5,2,50.5,11890000.0,Измайлово,Верхняя Первомайская ,2/32,Первомайская,1102.2065844738297
12,13,2,92.0,59300000.0,Раменки,проспект Генерала Дорохова,39к2Б,Ломоносовский проспект,1542.0052725215305
24,79,2,61.2,58000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,369.7368421931055
10,33,2,44.3,28200000.0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,546.9662589004394
43,73,2,123.0,149000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,336.0476848449258
9,12,2,49.0,47500000.0,Раменки,проспект Генерала Дорохова,39к2Б,Минская,942.7293074561434
62,77,2,111.0,149000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,336.0476848449258
4,21,2,65.14,70000000.0,Пресненский, Костикова,4к1,Улица 1905 года,464.45332523038036
4,28,2,53.0,16112000.0,Отрадное,Отрадная ,4А,Отрадное,639.4920878145541
16,25,2,73.5,51800000.0,Раменки, Янковского,1к3,Аминьевская,565.5296019029738
5,8,2,57.1,30500000.0,Хамовники,Комсомольский проспект,36,Фрунзенская,483.396913324555
9,9,2,101.0,208812450.0,Тверской,1-я Тверская-Ямская ,2А,Маяковская,2113.8256596887536
4,5,2,57.0,23900000.0,Красносельский,3-й Красносельский переулок,19С4,Красносельская,818.1075508104228
1,12,2,54.8,14200000.0,Новогиреево,Новогиреевская ,50/9,Перово,842.7384965958762
5,5,2,81.0,80000000.0,Пресненский,Ермолаевский переулок,7,Маяковская,731.7406904966609
1,6,2,60.0,32500000.0,Пресненский,переулок Красина,16С1,Баррикадная,797.0837007218902
8,16,2,49.9,21900000.0,Мещанский,2-й Крестовский переулок,4,Рижская,355.6800306647926
5,7,2,118.0,292640000.0,Тверской,Большой Черкасский переулок,2/10,Площадь Революции,221.96964887694764
9,9,2,90.0,200000000.0,Пресненский, Спиридоновка,22/2,Пушкинская,802.1320033740657
18,46,2,80.0,61280000.0,Хорошево-Мневники, Демьяна Бедного,вл24,Карамышевская,926.8536150490204
7,26,2,72.6,27500000.0,Лефортово, Крузенштерна,12к2,Авиамоторная,741.134025551192
6,7,2,115.0,322000000.0,Тверской,Большой Черкасский переулок,2/10,Площадь Революции,221.96964887694764
5,5,2,43.7,17700000.0,Беговой,Беговая ,18К1,Беговая,832.5119319953085
3,6,2,124.3,291660000.0,Басманный,Потаповский переулок,5С4,Красные ворота,909.3419841714755
4,9,2,77.0,53000000.0,Хамовники,Саввинская набережная,3,Киевская,625.7367331229713
16,21,2,49.8,21314400.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,930.8035916456713
3,27,2,78.0,37490000.0,Очаково-Матвеевское,Мичуринский проспект,80,Озёрная,471.8199277598829
8,19,2,84.6,56682000.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,439.1206398744229
2,7,2,142.39,334616500.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,286.6371011885702
3,24,2,78.0,46900000.0,Раменки,Мичуринский проспект,7,Ломоносовский проспект,625.0656806166795
2,9,2,68.0,38000000.0,Даниловский,Автозаводская ,23с931к3,Технопарк,588.5558423565922
4,7,2,170.86,478408000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,286.6371011885702
6,6,2,100.0,75000000.0,Замоскворечье,Большая Пионерская ,20,Павелецкая,483.0774023370103
21,54,2,61.0,27500000.0,Хорошево-Мневники,проспект Маршала Жукова,1С1,Хорошёво,211.64647440118787
8,25,2,62.1,54648000.0,Фили-Давыдково,Малая Филевская ,46,Кунцевская,557.8533689133363
3,6,2,70.0,97690000.0,Арбат,Поварская ,8/1к1,Арбатская,294.3669072991178
1,3,2,98.0,34000000.0,Преображенское,Электрозаводская ,33С4,Преображенская площадь,558.4207655176162
4,12,2,50.4,27616226.0,Преображенское,Электрозаводская ,60,Преображенская площадь,428.4056925396633
20,21,2,67.5,55000000.0,Беговой,Ленинградский проспект,29к2,Динамо,476.98521443084496
16,26,2,54.1,35000000.0,Черемушки,Херсонская ,43,Зюзино,898.7962006386464
20,21,2,58.49,23415000.0,Сокольники, Сокольнический Вал,3,Рижская,1235.1408506856499
11,33,2,85.4,45000000.0,Щукино,Авиационная ,77к2,Щукинская,767.3937096028402
3,42,2,44.4,26000000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,412.72374009006444
11,15,2,70.0,55000000.0,Беговой,Ленинградский проспект,29к4,Динамо,516.7519994281699
16,41,2,56.0,44300000.0,Раменки,Парклэйн тер.,к2,Кутузовская,5699.032062252352
10,15,2,53.7,56417220.0,Даниловский, Серпуховский Вал,7с16,Тульская,398.9273178241214
4,6,2,137.0,199990000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,470.2154939290438
12,12,2,116.8,225054839.0,Пресненский, Спиридоновка,12,Пушкинская,880.9647882674703
8,27,2,74.3,29500000.0,Даниловский,набережная Марка Шагала,11к2,ЗИЛ,1381.6038036507193
3,13,2,32.8,19900000.0,Даниловский,Подольское шоссе,3,Тульская,503.6833640149864
7,15,2,78.22,69842638.0,Даниловский, Серпуховский Вал,7,Тульская,398.9273178241214
6,9,2,95.0,92800000.0,Замоскворечье,Садовническая ,82,Павелецкая,640.0655406452674
2,17,2,40.9,26000000.0,Раменки,Мичуринский проспект,вл30Б,Раменки,382.1697489405355
16,19,2,66.3,55360500.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,439.1206398744229
3,7,2,70.0,97690000.0,Арбат,Поварская ,8/1к1,Арбатская,294.3669072991178
8,16,2,50.0,21900000.0,Мещанский,2-й Крестовский переулок,4,Рижская,355.6800306647926
12,14,2,38.4,11700000.0,Бибирево, Корнейчука,22,Бибирево,1978.1201847757548
4,12,2,38.9,11990000.0,Южнопортовый,Южнопортовая ,8,Кожуховская,451.98785001771336
2,4,2,54.2,12999990.0,Южное Тушино,Новопоселковая ,3А,Сходненская,1362.5666916598896
2,5,2,55.7,13100000.0,Перово,Новогиреевская ,14К3,Перово,1134.3375271308296
9,9,2,47.9,13000000.0,Люблино, Верхние Поля,27С2,Братиславская,871.4378120467592
6,9,2,42.5,13150000.0,Нижегородский,3-я Карачаровская ,7,Нижегородская,1173.1336990656075
8,17,2,60.2,13200000.0,Некрасовка,проспект Защитников Москвы,11,Некрасовка,486.81659632498986
2,5,2,54.7,13300000.0,Текстильщики,Волжский бульвар,46К1,Волжская,881.482884475715
5,14,2,55.4,13500000.0,Братеево,Алма-Атинская ,5,Алма-Атинская,911.7358939381081
7,17,2,51.6,13500000.0,Солнцево,Волынская ,10,Солнцево,1434.7962042279369
6,9,2,44.0,13699999.0,Савеловский,Бутырская ,95,Дмитровская,52.182278515486004
5,5,2,45.0,13700000.0,Перово, Плющева,12К1,Перово,1845.8246659781069
8,14,2,40.0,13800000.0,Северное Медведково,Полярная ,50,Медведково,961.798461288543
7,9,2,45.2,13900000.0,Коньково, Островитянова,27К1,Коньково,269.7151406597428
3,9,2,37.4,13999000.0,Красносельский,6-й Красносельский переулок,3,Красносельская,999.0992259235784
3,17,2,58.0,14000000.0,Братеево,Братеевская ,16К1,Алма-Атинская,167.93002379945668
8,9,2,43.0,14200000.0,Кузьминки, Федора Полетаева,32К2,Рязанский проспект,1187.1149892179367
15,17,2,53.6,14300000.0,Орехово-Борисово Южное,Гурьевский проезд,19К3,Зябликово,569.1686950053747
4,9,2,40.9,14500000.0,Савеловский,Бутырская ,9К2,Савёловская,280.56005527418483
2,5,2,45.5,14650000.0,Марьина роща, 2-я Марьиной рощи,14В,Марьина Роща,371.17748551397096
11,16,2,58.0,14700000.0,Теплый Стан, Теплый Стан,11К1,Генерала Тюленева,559.533118114327
5,5,2,45.0,14799999.0,Северное Тушино, Героев Панфиловцев,14К2,Планерная,686.1713697227341
7,9,2,36.9,14850000.0,Хорошевский,Хорошевское шоссе,76К5,Полежаевская,438.64798332419247
20,33,2,38.1,14800000.0,Очаково-Матвеевское,проезд Стройкомбината,1,Очаково,265.5587423169155
6,12,2,46.0,15000000.0,Строгино,Неманский проезд,5К1,Мякинино,1236.3728176498212
3,8,2,40.0,15000000.0,Таганский,Нижегородская ,9А,Москва-Товарная,836.2614395917183
